weekday,start_local,end_local,class_name
0,07:30,08:15,Chisel
0,08:30,09:15,Ripped Ride
0,12:30,13:15,Strength and Alignment
0,17:00,18:00,Vinyasa Yoga
0,17:30,18:15,Shredded
0,18:15,19:15,Bliss Yoga
0,18:15,19:00,Mash-Up: Zumba® vs Hard Knocks
0,19:00,19:45,Barre Bootcamp
0,19:45,20:30,Mash-Up: Pilates vs Core Yoga
1,06:30,07:15,Party Ride
1,07:30,08:15,Pilates Mat
1,08:30,09:15,Vinyasa Yoga
1,09:15,09:45,Good Vibrations
1,09:30,10:15,Weigh Hard Cardio
1,10:15,11:00,Chisel
1,17:30,18:15,Tabura
1,18:00,19:00,Vinyasa Yoga
1,18:30,19:15,The Vicious Cycle
1,19:15,20:00,Core Strength & Alignment
2,06:30,07:15,Ass & Abs
2,07:30,08:15,Top it Off
2,12:30,13:15,Buff Yoga
2,17:00,18:00,Core Yoga
2,17:30,18:15,The Ride
2,18:30,19:00,Vinyasa Yoga
2,19:00,19:45,Cardio Kickboxing
3,06:30,07:15,HALFSIES: Ride + Absolution
3,07:30,08:15,Diesel
3,08:30,09:15,Chisel
3,09:30,10:15,Top it Off
3,10:15,11:15,Core Yoga
3,17:30,18:15,Weigh Hard Cardio
3,18:00,19:00,Bliss Yoga
3,18:30,19:15,Core Strength & Alignment
3,19:15,20:00,Buff Yoga
4,07:30,08:15,Weigh Hard Cardio
4,09:00,09:45,Pilates Mat
4,10:00,10:45,"B.L.T. Butt, Legs & Thighs"
4,12:30,13:15,Pilates Sculpt
4,17:00,18:00,Vinyasa Yoga
4,18:30,19:15,Party Ride
5,09:00,09:45,Weigh Hard Cardio
5,10:00,10:45,Chisel
5,11:00,11:45,Pulse Pilates
5,13:30,14:30,Chakra Vinyasa Flow
6,09:00,09:45,Pilates Mat
6,10:00,11:00,Bliss Yoga
6,11:00,11:45,Pilates Sculpt
6,12:00,12:45,Party Ride
6,13:00,13:30,"B.L.T. Butt, Legs & Thighs"
6,16:30,17:30,Mash-Up: Zumba® vs Hard Knocks
